# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	min(porosityF)
1.26              	5.0000000000e-01
1.265             	5.0000000000e-01
1.27              	5.0000000000e-01
1.275             	5.0000000000e-01
1.28              	5.0000000000e-01
1.285             	5.0000000000e-01
1.29              	5.0000000000e-01
1.295             	5.0000000000e-01
1.3               	5.0000000000e-01
1.305             	5.0000000000e-01
1.31              	5.0000000000e-01
1.315             	5.0000000000e-01
1.32              	5.0000000000e-01
1.325             	5.0000000000e-01
1.33              	5.0000000000e-01
1.335             	5.0000000000e-01
1.34              	5.0000000000e-01
1.345             	5.0000000000e-01
1.35              	5.0000000000e-01
1.355             	5.0000000000e-01
1.36              	5.0000000000e-01
1.365             	5.0000000000e-01
1.37              	5.0000000000e-01
1.375             	5.0000000000e-01
1.38              	5.0000000000e-01
1.385             	5.0000000000e-01
1.39              	5.0000000000e-01
1.395             	5.0000000000e-01
1.4               	5.0000000000e-01
1.405             	5.0000000000e-01
1.41              	5.0000000000e-01
1.415             	5.0000000000e-01
1.42              	5.0000000000e-01
1.425             	5.0000000000e-01
1.43              	5.0000000000e-01
1.435             	5.0000000000e-01
1.44              	5.0000000000e-01
1.445             	5.0000000000e-01
1.45              	5.0000000000e-01
1.455             	5.0000000000e-01
1.46              	5.0000000000e-01
1.465             	5.0000000000e-01
1.47              	5.0000000000e-01
1.475             	5.0000000000e-01
1.48              	5.0000000000e-01
1.485             	5.0000000000e-01
1.49              	5.0000000000e-01
1.495             	5.0000000000e-01
1.5               	5.0000000000e-01
1.505             	5.0000000000e-01
1.51              	5.0000000000e-01
1.515             	5.0000000000e-01
1.52              	5.0000000000e-01
1.525             	5.0000000000e-01
1.53              	5.0000000000e-01
1.535             	5.0000000000e-01
1.54              	5.0000000000e-01
1.545             	5.0000000000e-01
1.55              	5.0000000000e-01
1.555             	5.0000000000e-01
1.56              	5.0000000000e-01
1.565             	5.0000000000e-01
1.57              	5.0000000000e-01
1.575             	5.0000000000e-01
1.58              	5.0000000000e-01
1.585             	5.0000000000e-01
1.59              	5.0000000000e-01
1.595             	5.0000000000e-01
1.6               	5.0000000000e-01
1.605             	5.0000000000e-01
1.61              	5.0000000000e-01
1.615             	5.0000000000e-01
1.62              	5.0000000000e-01
1.625             	5.0000000000e-01
1.63              	5.0000000000e-01
1.635             	5.0000000000e-01
1.64              	5.0000000000e-01
1.645             	5.0000000000e-01
1.65              	5.0000000000e-01
1.655             	5.0000000000e-01
1.66              	5.0000000000e-01
1.665             	5.0000000000e-01
1.67              	5.0000000000e-01
1.675             	5.0000000000e-01
1.68              	5.0000000000e-01
1.685             	5.0000000000e-01
1.69              	5.0000000000e-01
1.695             	5.0000000000e-01
1.7               	5.0000000000e-01
1.705             	5.0000000000e-01
1.71              	5.0000000000e-01
1.715             	5.0000000000e-01
1.72              	5.0000000000e-01
1.725             	5.0000000000e-01
1.73              	5.0000000000e-01
1.735             	5.0000000000e-01
1.74              	5.0000000000e-01
1.745             	5.0000000000e-01
1.75              	5.0000000000e-01
1.755             	5.0000000000e-01
1.76              	5.0000000000e-01
1.765             	5.0000000000e-01
1.77              	5.0000000000e-01
1.775             	5.0000000000e-01
1.78              	5.0000000000e-01
1.785             	5.0000000000e-01
1.79              	5.0000000000e-01
1.795             	5.0000000000e-01
1.8               	5.0000000000e-01
1.805             	5.0000000000e-01
1.81              	5.0000000000e-01
1.815             	5.0000000000e-01
1.82              	5.0000000000e-01
1.825             	5.0000000000e-01
1.83              	5.0000000000e-01
1.835             	5.0000000000e-01
1.84              	5.0000000000e-01
1.845             	5.0000000000e-01
1.85              	5.0000000000e-01
1.855             	5.0000000000e-01
1.86              	5.0000000000e-01
1.865             	5.0000000000e-01
1.87              	5.0000000000e-01
1.875             	5.0000000000e-01
1.88              	5.0000000000e-01
1.885             	5.0000000000e-01
1.89              	5.0000000000e-01
1.895             	5.0000000000e-01
1.9               	5.0000000000e-01
1.905             	5.0000000000e-01
1.91              	5.0000000000e-01
1.915             	5.0000000000e-01
1.92              	5.0000000000e-01
1.925             	5.0000000000e-01
1.93              	5.0000000000e-01
1.935             	5.0000000000e-01
1.94              	5.0000000000e-01
1.945             	5.0000000000e-01
1.95              	5.0000000000e-01
1.955             	5.0000000000e-01
1.96              	5.0000000000e-01
1.965             	5.0000000000e-01
1.97              	5.0000000000e-01
1.975             	5.0000000000e-01
1.98              	5.0000000000e-01
1.985             	5.0000000000e-01
1.99              	5.0000000000e-01
1.995             	5.0000000000e-01
2                 	5.0000000000e-01
